RH and T log,Fri Sep 12 16:23:14 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
7.5,97.48,45.98,0,0,77.83,27.31,0,0
7.56,97.48,45.96,0,0,77.83,27.31,0,0
8.55,97.5,45.78,0,0,77.92,27.41,0,0
9.55,97.5,45.44,0,0,78.12,27.36,0,0
10.55,97.49,45.22,0,0,77.93,27.47,0,0
11.55,97.49,45.13,0,0,77.85,27.59,0,0
12.55,97.51,45.05,0,0,77.85,27.51,0,0
13.55,97.5,45.03,0,0,77.82,27.63,0,0
14.55,97.53,45.39,0,0,78.03,27.66,0,0
15.54,97.15,46.43,0,0,75.4,27.64,0,0
16.54,97.6,47.3,0,0,76.74,27.91,0,0
17.54,97.6,47.9,0,0,77.93,28.06,0,0
18.54,97.46,48.85,0,0,77.23,28.26,0,0
19.54,96.05,53.43,0,0,70.24,33.23,0,0
20.54,93.07,73.86,0,0,63.44,39.36,0,0
21.54,93.41,86.25,0,0,59.52,44.55,0,0
22.54,93.63,91.79,0,0,57.41,46.65,0,0
23.54,96.38,93.77,0,0,57.25,45.25,0,0
24.54,97.14,94.72,0,0,58.1,43.92,0,0
25.53,98.21,95.69,0,0,59.66,46.88,0,0
26.53,98.23,96.05,0,0,59.86,48.5,0,0
27.53,98.25,96.47,0,0,60.51,51.61,0,0
28.53,98.35,96.78,0,0,61.46,56.42,0,0
29.53,98.45,96.87,0,0,62.99,61.14,0,0
30.53,98.5,96.9,0,0,64.92,64.17,0,0
31.53,98.38,96.88,0,0,65.97,65.23,0,0
32.53,98.33,96.95,0,0,67.41,67.0,0,0
33.53,98.25,96.92,0,0,68.52,67.97,0,0
34.52,98.09,98.09,0,0,68.96,255.0,0,0
35.52,98.03,96.99,0,0,69.17,68.51,0,0
36.52,97.97,97.03,0,0,69.31,69.31,0,0
37.52,97.94,97.05,0,0,69.16,69.71,0,0
38.52,97.93,97.07,0,0,69.18,70.02,0,0
39.52,97.91,97.09,0,0,69.1,70.45,0,0
40.52,97.93,97.09,0,0,69.36,70.78,0,0
41.52,97.9,97.05,0,0,69.7,70.89,0,0
42.52,97.84,97.12,0,0,69.96,71.34,0,0
43.51,97.65,97.1,0,0,70.1,72.0,0,0
44.51,97.55,97.05,0,0,70.24,72.42,0,0
45.51,97.3,97.02,0,0,70.1,72.19,0,0
46.51,97.3,96.99,0,0,70.25,72.24,0,0
47.51,97.26,97.08,0,0,70.43,72.99,0,0
48.51,97.27,96.98,0,0,70.67,73.19,0,0
49.51,97.27,96.79,0,0,70.95,73.28,0,0
50.51,97.07,96.56,0,0,71.03,73.05,0,0
