RH and T log,Tue Sep 16 09:49:20 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
7.37,55.56,0,0,0,22.11,0,0,0
7.63,55.61,0,0,0,22.07,0,0,0
8.63,55.59,0,0,0,22.1,0,0,0
9.63,55.6,0,0,0,22.08,0,0,0
10.63,55.62,0,0,0,22.1,0,0,0
11.63,55.59,0,0,0,22.08,0,0,0
12.63,55.62,0,0,0,22.1,0,0,0
13.63,55.63,0,0,0,22.09,0,0,0
14.63,55.61,0,0,0,22.08,0,0,0
15.62,55.59,0,0,0,22.1,0,0,0
16.62,55.62,0,0,0,22.09,0,0,0
17.62,55.59,0,0,0,22.11,0,0,0
18.62,55.54,0,0,0,22.1,0,0,0
19.62,55.51,0,0,0,22.1,0,0,0
20.62,55.48,0,0,0,22.09,0,0,0
21.62,55.44,0,0,0,22.1,0,0,0
22.62,55.53,0,0,0,22.08,0,0,0
23.62,55.56,0,0,0,22.14,0,0,0
24.61,55.58,0,0,0,22.12,0,0,0
25.61,55.58,0,0,0,22.16,0,0,0
26.62,56.05,0,0,0,22.18,0,0,0
27.61,56.3,0,0,0,22.17,0,0,0
28.61,56.42,0,0,0,22.26,0,0,0
29.61,59.28,0,0,0,22.47,0,0,0
30.61,60.91,0,0,0,22.51,0,0,0
31.61,60.38,0,0,0,22.55,0,0,0
32.62,61.27,0,0,0,22.82,0,0,0
33.61,65.61,0,0,0,23.33,0,0,0
34.61,68.38,0,0,0,23.99,0,0,0
35.6,70.11,0,0,0,24.74,0,0,0
36.6,71.19,0,0,0,25.43,0,0,0
37.6,70.5,0,0,0,25.91,0,0,0
38.6,68.02,0,0,0,26.03,0,0,0
39.6,63.1,0,0,0,25.92,0,0,0
40.62,58.81,0,0,0,25.79,0,0,0
41.61,55.89,0,0,0,25.62,0,0,0
42.6,53.82,0,0,0,25.36,0,0,0
43.61,52.3,0,0,0,25.24,0,0,0
44.69,51.27,0,0,0,25.06,0,0,0
45.59,50.56,0,0,0,24.87,0,0,0
46.64,50.15,0,0,0,24.78,0,0,0
47.66,49.87,0,0,0,24.61,0,0,0
48.67,49.8,0,0,0,24.46,0,0,0
49.65,49.85,0,0,0,24.27,0,0,0
50.63,50.0,0,0,0,24.13,0,0,0
51.61,50.21,0,0,0,23.99,0,0,0
52.67,50.46,0,0,0,23.83,0,0,0
53.63,50.74,0,0,0,23.71,0,0,0
54.68,50.93,0,0,0,23.61,0,0,0
55.64,51.16,0,0,0,23.52,0,0,0
56.63,51.38,0,0,0,23.48,0,0,0
57.66,51.71,0,0,0,23.46,0,0,0
58.67,51.9,0,0,0,23.41,0,0,0
59.68,52.04,0,0,0,23.44,0,0,0
60.69,52.09,0,0,0,23.43,0,0,0
61.66,52.18,0,0,0,23.45,0,0,0
62.65,52.22,0,0,0,23.38,0,0,0
63.66,52.26,0,0,0,23.34,0,0,0
64.62,52.31,0,0,0,23.34,0,0,0
65.66,52.33,0,0,0,23.32,0,0,0
66.68,52.37,0,0,0,23.33,0,0,0
67.67,52.39,0,0,0,23.31,0,0,0
68.7,52.43,0,0,0,23.33,0,0,0
69.71,52.45,0,0,0,23.3,0,0,0
70.7,52.46,0,0,0,23.29,0,0,0
71.74,52.47,0,0,0,23.28,0,0,0
