RH and T log,Fri Sep 12 14:41:10 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
52.27,47.26,47.28,0,0,255.0,23.41,0,0
53.26,47.28,47.28,0,0,255.0,23.41,0,0
54.28,47.28,47.3,0,0,255.0,23.39,0,0
55.28,47.3,47.27,0,0,255.0,23.36,0,0
56.29,47.27,47.24,0,0,255.0,23.36,0,0
57.26,47.24,47.26,0,0,255.0,23.35,0,0
58.25,47.26,47.32,0,0,255.0,23.36,0,0
59.28,47.32,47.34,0,0,255.0,23.33,0,0
60.25,47.34,47.37,0,0,255.0,23.32,0,0
61.25,47.37,47.4,0,0,255.0,23.32,0,0
62.32,47.4,47.39,0,0,255.0,23.32,0,0
63.28,47.39,47.41,0,0,255.0,23.31,0,0
64.28,47.41,47.44,0,0,255.0,23.33,0,0
65.32,47.44,47.47,0,0,255.0,23.33,0,0
