RH and T log,Tue Sep 23 11:11:45 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
11.84,99.22,98.36,0,0,38.11,40.18,0,0
12.55,99.23,98.37,0,0,38.15,40.26,0,0
13.55,99.24,98.36,0,0,38.12,40.25,0,0
14.55,99.24,98.32,0,0,38.11,40.22,0,0
15.55,99.24,98.31,0,0,38.12,40.24,0,0
16.55,99.22,98.33,0,0,38.12,40.19,0,0
17.54,99.24,98.37,0,0,38.09,40.16,0,0
18.54,99.23,98.42,0,0,38.11,40.18,0,0
19.54,99.23,98.44,0,0,38.1,40.24,0,0
20.54,99.24,98.41,0,0,38.1,40.16,0,0
21.54,99.23,98.41,0,0,38.09,40.19,0,0
22.54,99.24,98.38,0,0,38.12,40.21,0,0
23.54,99.24,98.36,0,0,38.1,40.21,0,0
24.54,99.24,98.28,0,0,38.08,40.23,0,0
25.54,99.24,98.25,0,0,38.1,40.17,0,0
26.53,99.2,98.28,0,0,38.07,40.09,0,0
27.53,99.25,98.34,0,0,38.06,40.09,0,0
28.53,99.24,98.46,0,0,38.05,40.09,0,0
29.53,99.24,98.5,0,0,38.05,40.14,0,0
30.53,99.22,98.5,0,0,38.05,40.19,0,0
31.53,99.2,98.52,0,0,38.05,40.12,0,0
32.53,99.23,98.48,0,0,38.06,40.19,0,0
33.53,99.25,98.38,0,0,38.06,40.29,0,0
34.53,99.21,98.27,0,0,38.03,40.21,0,0
35.53,99.23,98.31,0,0,38.05,40.07,0,0
36.52,99.26,98.4,0,0,38.06,40.12,0,0
37.52,99.23,98.36,0,0,38.03,40.23,0,0
38.52,99.21,98.18,0,0,38.04,40.29,0,0
39.52,99.25,98.07,0,0,38.03,40.29,0,0
40.52,99.24,98.0,0,0,37.99,40.34,0,0
41.52,99.25,97.93,0,0,37.98,40.38,0,0
42.52,99.24,97.94,0,0,38.0,40.4,0,0
43.52,99.25,97.9,0,0,37.98,40.31,0,0
44.52,99.24,97.97,0,0,38.01,40.32,0,0
45.51,99.22,97.98,0,0,37.99,40.3,0,0
46.51,99.25,97.92,0,0,38.03,40.39,0,0
47.51,99.24,97.85,0,0,37.98,40.37,0,0
48.51,99.26,97.81,0,0,37.99,40.3,0,0
49.51,99.25,97.83,0,0,37.97,40.39,0,0
50.51,99.23,97.75,0,0,37.97,40.43,0,0
51.51,99.22,97.74,0,0,37.95,40.49,0,0
52.51,99.25,97.72,0,0,37.93,40.47,0,0
53.58,99.24,97.78,0,0,37.94,40.45,0,0
54.51,99.25,97.8,0,0,37.97,40.44,0,0
55.51,99.21,97.84,0,0,37.94,40.41,0,0
56.5,99.25,97.81,0,0,37.98,40.41,0,0
57.5,99.26,97.79,0,0,37.96,40.4,0,0
58.5,99.25,97.82,0,0,37.97,40.34,0,0
59.5,99.25,97.82,0,0,37.97,40.37,0,0
