RH and T log,Tue Sep 23 11:15:16 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
26.18,99.26,97.23,0,0,37.45,40.32,0,0
26.72,99.25,97.3,0,0,37.45,40.33,0,0
27.73,99.23,97.34,0,0,37.44,40.27,0,0
28.61,99.26,97.38,0,0,37.43,40.26,0,0
29.52,99.25,97.42,0,0,37.43,40.22,0,0
30.9,99.22,97.49,0,0,37.42,40.2,0,0
31.72,99.26,97.48,0,0,37.43,40.16,0,0
32.98,99.24,97.5,0,0,37.44,40.18,0,0
33.89,99.26,97.52,0,0,37.42,40.16,0,0
34.87,99.26,97.5,0,0,37.42,40.15,0,0
35.89,99.25,97.5,0,0,37.41,40.16,0,0
36.45,99.24,97.49,0,0,37.4,40.18,0,0
37.46,99.25,97.51,0,0,37.42,40.2,0,0
38.46,99.25,97.5,0,0,37.4,40.16,0,0
39.45,99.24,97.48,0,0,37.38,40.15,0,0
40.45,99.25,97.47,0,0,37.37,40.11,0,0
41.45,99.25,97.48,0,0,37.37,40.13,0,0
42.45,99.23,97.56,0,0,37.37,40.07,0,0
43.45,99.23,97.67,0,0,37.38,40.03,0,0
44.54,99.23,97.67,0,0,37.38,40.03,0,0
45.55,99.7,97.78,0,0,40.2,40.01,0,0
46.55,99.64,97.72,0,0,40.24,40.03,0,0
47.55,99.62,97.68,0,0,40.26,40.05,0,0
48.55,99.62,97.62,0,0,40.27,39.99,0,0
49.55,99.59,97.63,0,0,40.26,39.97,0,0
50.55,99.6,97.63,0,0,40.29,39.96,0,0
51.54,99.59,97.64,0,0,40.28,39.97,0,0
52.54,99.61,97.68,0,0,40.29,39.93,0,0
53.54,99.57,97.73,0,0,40.3,39.92,0,0
54.54,99.6,97.71,0,0,40.33,39.93,0,0
55.77,99.56,97.75,0,0,40.33,39.92,0,0
56.84,99.57,97.77,0,0,40.33,39.89,0,0
57.82,99.57,97.76,0,0,40.33,39.9,0,0
58.79,99.58,97.75,0,0,40.34,39.86,0,0
59.65,99.55,97.73,0,0,40.34,39.85,0,0
60.56,99.57,97.74,0,0,40.34,39.85,0,0
61.86,99.55,97.74,0,0,40.34,39.84,0,0
62.81,99.54,97.69,0,0,40.33,39.84,0,0
63.61,99.5,97.66,0,0,40.34,39.85,0,0
64.69,99.5,97.57,0,0,40.32,39.89,0,0
65.69,99.47,97.57,0,0,40.32,39.89,0,0
66.59,99.48,97.64,0,0,40.33,39.9,0,0
67.96,99.44,97.67,0,0,40.31,39.94,0,0
68.78,99.43,97.65,0,0,40.31,40.01,0,0
69.65,99.43,97.55,0,0,40.33,40.11,0,0
70.61,99.38,97.4,0,0,40.34,40.16,0,0
71.94,99.36,97.27,0,0,40.34,40.17,0,0
72.68,99.32,97.19,0,0,40.33,40.22,0,0
73.96,99.3,97.11,0,0,40.35,40.21,0,0
74.81,99.31,97.03,0,0,40.31,40.2,0,0
75.63,99.28,97.02,0,0,40.31,40.18,0,0
76.5,99.28,97.02,0,0,40.31,40.18,0,0
77.74,98.93,97.03,0,0,37.47,40.19,0,0
78.49,99.06,97.06,0,0,37.43,40.19,0,0
79.62,99.14,97.14,0,0,37.38,40.21,0,0
80.53,99.19,97.19,0,0,37.37,40.18,0,0
81.72,99.22,97.27,0,0,37.38,40.15,0,0
82.77,99.24,97.3,0,0,37.38,40.13,0,0
