345.41,44.0,0,0,0,0,0,0,0
345.41,44.0,0,0,0,0,0,0,0
346.35,44.0,0,0,0,0,0,0,0
346.35,44.0,0,0,0,0,0,0,0
347.35,44.0,0,0,0,0,0,0,0
347.35,44.0,0,0,0,0,0,0,0
348.35,44.0,0,0,0,0,0,0,0
348.35,44.0,0,0,0,0,0,0,0
349.39,44.0,0,0,0,0,0,0,0
349.39,44.0,0,0,0,0,0,0,0
350.38,44.0,0,0,0,0,0,0,0
350.38,44.0,0,0,0,0,0,0,0
351.35,44.0,0,0,0,0,0,0,0
351.35,44.0,0,0,0,0,0,0,0
352.35,44.0,0,0,0,0,0,0,0
352.35,44.0,0,0,0,0,0,0,0
353.36,44.0,0,0,0,0,0,0,0
353.36,44.0,0,0,0,0,0,0,0
354.38,44.0,0,0,0,0,0,0,0
354.42,44.0,0,0,0,0,0,0,0
355.4,44.0,0,0,0,0,0,0,0
355.41,44.0,0,0,0,0,0,0,0
356.37,44.0,0,0,0,0,0,0,0
356.37,44.0,0,0,0,0,0,0,0
357.34,44.0,0,0,0,0,0,0,0
357.35,44.0,0,0,0,0,0,0,0
358.41,44.0,0,0,0,0,0,0,0
358.43,44.0,0,0,0,0,0,0,0
359.37,44.0,0,0,0,0,0,0,0
359.38,44.0,0,0,0,0,0,0,0
360.34,44.0,0,0,0,0,0,0,0
360.34,44.0,0,0,0,0,0,0,0
361.35,44.0,0,0,0,0,0,0,0
361.36,44.0,0,0,0,0,0,0,0
362.34,44.0,0,0,0,0,0,0,0
362.34,44.0,0,0,0,0,0,0,0
363.34,44.0,0,0,0,0,0,0,0
363.34,44.0,0,0,0,0,0,0,0
364.34,44.0,0,0,0,0,0,0,0
364.34,44.0,0,0,0,0,0,0,0
365.44,44.0,0,0,0,0,0,0,0
365.44,44.0,0,0,0,0,0,0,0
366.34,44.0,0,0,0,0,0,0,0
366.34,44.0,0,0,0,0,0,0,0
367.34,44.0,0,0,0,0,0,0,0
367.34,44.0,0,0,0,0,0,0,0
